"Time","slipstream_internal/slipstream_hq/1100/Cooling Capacity Status"
2021-08-10 11:05:01,100
2021-08-10 11:06:01,100
2021-08-10 11:07:01,100
2021-08-10 11:08:01,100
2021-08-10 11:09:01,100
2021-08-10 11:10:01,100
2021-08-10 11:11:01,100
2021-08-10 11:12:01,100
2021-08-10 11:13:01,100
2021-08-10 11:14:01,100
2021-08-10 11:15:01,100
2021-08-10 11:16:01,100
2021-08-10 11:17:01,100
2021-08-10 11:18:01,100
2021-08-10 11:19:01,100
2021-08-10 11:20:01,100
2021-08-10 11:21:01,100
2021-08-10 11:22:01,100
2021-08-10 11:23:01,100
2021-08-10 11:24:01,100
2021-08-10 11:25:01,100
2021-08-10 11:26:01,100
2021-08-10 11:27:01,100
2021-08-10 11:28:01,100
2021-08-10 11:29:01,100
2021-08-10 11:30:01,100
2021-08-10 11:31:01,100
2021-08-10 11:32:01,100
2021-08-10 11:33:01,100
2021-08-10 11:34:01,100
2021-08-10 11:35:01,100
2021-08-10 11:36:01,100
2021-08-10 11:37:01,100
2021-08-10 11:38:01,100
2021-08-10 11:39:01,100
2021-08-10 11:40:01,100
2021-08-10 11:41:01,100
2021-08-10 11:42:01,100
2021-08-10 11:43:01,100
2021-08-10 11:44:01,100
2021-08-10 11:45:01,100
2021-08-10 11:46:01,100
2021-08-10 11:47:01,100
2021-08-10 11:48:01,100
2021-08-10 11:49:01,100
2021-08-10 11:50:01,100
2021-08-10 11:51:01,100
2021-08-10 11:52:01,100
2021-08-10 11:53:01,100
2021-08-10 11:54:02,100
2021-08-10 11:55:01,100
2021-08-10 11:56:01,100
2021-08-10 11:57:01,100
2021-08-10 11:58:01,100
2021-08-10 11:59:01,100
2021-08-10 12:00:01,100
2021-08-10 12:01:01,100
2021-08-10 12:02:01,100
2021-08-10 12:03:01,100
2021-08-10 12:04:01,100
2021-08-10 12:05:01,100
2021-08-10 12:06:01,100
2021-08-10 12:07:01,100
2021-08-10 12:08:01,100
2021-08-10 12:09:01,100
2021-08-10 12:10:01,100
2021-08-10 12:11:01,100
2021-08-10 12:12:01,100
2021-08-10 12:13:01,100
2021-08-10 12:14:01,100
2021-08-10 12:15:01,100
2021-08-10 12:16:01,100
2021-08-10 12:17:01,100
2021-08-10 12:18:01,100
2021-08-10 12:19:01,100
2021-08-10 12:20:01,100
2021-08-10 12:21:01,100
2021-08-10 12:22:01,100
2021-08-10 12:23:02,100
2021-08-10 12:24:01,100
2021-08-10 12:25:01,100
2021-08-10 12:26:01,100
2021-08-10 12:27:01,100
2021-08-10 12:28:01,100
2021-08-10 12:29:01,100
2021-08-10 12:30:01,100
2021-08-10 12:31:01,100
2021-08-10 12:32:01,100
2021-08-10 12:33:01,100
2021-08-10 12:34:01,100
2021-08-10 12:35:01,100
2021-08-10 12:36:01,100
2021-08-10 12:37:01,100
2021-08-10 12:38:01,100
2021-08-10 12:39:01,100
2021-08-10 12:40:01,100
2021-08-10 12:41:01,100
2021-08-10 12:42:01,100
2021-08-10 12:43:01,100
2021-08-10 12:44:01,100
2021-08-10 12:45:01,100
2021-08-10 12:46:01,100
2021-08-10 12:47:01,100
2021-08-10 12:48:01,100
2021-08-10 12:49:01,100
2021-08-10 12:50:01,100
2021-08-10 12:51:01,100
2021-08-10 12:52:01,100
2021-08-10 12:53:01,100
2021-08-10 12:54:01,100
2021-08-10 12:55:01,100
2021-08-10 12:56:01,100
2021-08-10 12:57:01,100
2021-08-10 12:58:01,100
2021-08-10 12:59:01,100
2021-08-10 13:00:01,100
2021-08-10 13:01:01,100
2021-08-10 13:02:01,100
2021-08-10 13:03:01,100
2021-08-10 13:04:01,100
2021-08-10 13:05:01,100
2021-08-10 13:06:01,100
2021-08-10 13:07:01,100
2021-08-10 13:08:01,100
2021-08-10 13:09:01,100
2021-08-10 13:10:01,100
2021-08-10 13:11:01,100
2021-08-10 13:12:01,100
2021-08-10 13:13:01,100
2021-08-10 13:14:01,100
2021-08-10 13:15:01,100
2021-08-10 13:16:01,100
2021-08-10 13:17:01,100
2021-08-10 13:18:01,100
2021-08-10 13:19:01,100
2021-08-10 13:20:01,100
2021-08-10 13:21:01,100
2021-08-10 13:22:01,100
2021-08-10 13:23:01,100
2021-08-10 13:24:01,100
2021-08-10 13:25:01,100
2021-08-10 13:26:01,100
2021-08-10 13:27:02,100
2021-08-10 13:28:01,100
2021-08-10 13:29:01,100
2021-08-10 13:30:01,100
2021-08-10 13:31:01,100
2021-08-10 13:32:01,100
2021-08-10 13:33:01,100
2021-08-10 13:34:01,100
2021-08-10 13:35:01,100
